link_id,a_node,b_node,mid_lat,mid_lon,free_flow_time,Congested_Time_Max,Delay_factor_Max,VOC_max
33805,7763,10000060,40.06660211129032,-75.08416109516129,1.678956,1.678956,1.0,0.0
33806,10000060,7763,40.06660211129032,-75.08416109516129,1.678956,1.678956,1.0,0.0
33807,7764,10000060,40.06505806129032,-75.08413839516129,3.672474,3.672474,1.0,0.0
33808,10000060,7764,40.06505806129032,-75.08413839516129,3.672474,3.672474,1.0,0.0
33809,7940,10000060,40.06476231129032,-75.08412924516128,4.061994,4.061994,1.0,0.0
33810,10000060,7940,40.06476231129032,-75.08412924516128,4.061994,4.061994,1.0,0.0
33811,7951,10000060,40.06666401129032,-75.08409689516128,1.630476,1.630476,1.0,0.0
33812,10000060,7951,40.06666401129032,-75.08409689516128,1.630476,1.630476,1.0,0.0
33813,8766,10000060,40.06487536129032,-75.08412874516128,3.91362,3.91362,1.0,0.0
33814,10000060,8766,40.06487536129032,-75.08412874516128,3.91362,3.91362,1.0,0.0
33815,8803,10000060,40.06700536129032,-75.08373424516128,1.4764499999999998,1.4764499999999998,1.0,0.0
33816,10000060,8803,40.06700536129032,-75.08373424516128,1.4764499999999998,1.4764499999999998,1.0,0.0
33817,9900,10000060,40.06726686129032,-75.0834572451613,1.5093,1.5093,1.0,0.0
33818,10000060,9900,40.06726686129032,-75.0834572451613,1.5093,1.5093,1.0,0.0
33819,9920,10000060,40.068486361290326,-75.0822192451613,2.788188,2.788188,1.0,0.0
33820,10000060,9920,40.068486361290326,-75.0822192451613,2.788188,2.788188,1.0,0.0
33821,3206,3208,40.06618435,-75.08380375,0.125381,0.1528221473060101,1.2188620868074922,0.5023431018223434
33822,3208,3206,40.06618435,-75.08380375,0.125381,0.1429403030493182,1.140047559433393,0.346275116302926
33823,4997,4999,40.06257095,-75.08567425000001,0.190784,0.190784,1.0,0.0
33824,4999,4997,40.06257095,-75.08567425000001,0.190784,0.190784,1.0,0.0
33825,6271,3849,40.060077750000005,-75.08425835,0.291898,0.405797247641094,1.3902022200943274,0.8133293470730999
33826,3849,6271,40.060077750000005,-75.08425835,0.291898,0.4161795131530642,1.4257703483856148,0.874657129421613
33827,7762,7764,40.06304775,-75.0835065,0.15579,0.2105537805301689,1.351523079338654,0.7455667525579939
33828,7764,7762,40.06304775,-75.0835065,0.15579,0.2100581404534773,1.3483416166215885,0.7399393645049448
33829,3849,4998,40.0613688,-75.0836872,0.034743,0.0364027321361525,1.0477716989365502,0.1413081580054178
33830,4998,3849,40.0613688,-75.0836872,0.034743,0.0347683420321484,1.0007294140445109,0.0043318169605455
33831,4998,8765,40.0615315,-75.0837772,0.035296,0.0374058371687853,1.0597755317538902,0.1703313296208658
33832,8765,4998,40.0615315,-75.0837772,0.035296,0.035296,1.0,0.0
33833,8883,8884,40.0597183,-75.0856352,0.16863,0.1796397114873489,1.0652891625887977,0.1833267805025025
33834,8884,8883,40.0597183,-75.0856352,0.16863,0.1987358596268743,1.1785320502097751,0.4239244740162536
33835,8884,4998,40.06074285,-75.08458555,0.410448,0.4372458062062467,1.0652891625887977,0.1833267805025025
33836,4998,8884,40.06074285,-75.08458555,0.410448,0.4837261229445017,1.1785320502097751,0.4239244740162536
33837,4997,4998,40.06176155,-75.0843126,0.102998,0.102998,1.0,0.0
33838,4998,4997,40.06176155,-75.0843126,0.102998,0.102998,1.0,0.0
33839,3847,3848,40.06078905,-75.0827003,0.087882,0.0937413247381422,1.0666726376065894,0.1865583505883497
33840,3848,3847,40.06078905,-75.0827003,0.087882,0.0991809395406318,1.1285694401655837,0.322457976055064
33841,5198,3848,40.060293650000006,-75.0818491,0.094312,0.1064376410408965,1.1285694401655837,0.322457976055064
33842,3848,5198,40.060293650000006,-75.0818491,0.094312,0.1006000297979526,1.0666726376065894,0.1865583505883497
33843,7764,8765,40.06196975,-75.083605,0.17116,0.17116,1.0,0.0
33844,8766,7940,40.06186795,-75.0834795,0.025094,0.0339151201529241,1.3515230793386537,0.7455667525579939
33845,7940,8766,40.06186795,-75.0834795,0.025094,0.0338352845275021,1.3483416166215887,0.7399393645049448
33846,3847,3849,40.06114815,-75.0833211,0.044727,0.050477525350286,1.1285694401655837,0.322457976055064
33847,3849,3847,40.06114815,-75.0833211,0.044727,0.0477090670622299,1.0666726376065894,0.1865583505883497
33848,3849,7940,40.0615113,-75.08350585,0.054256,0.0714290095944692,1.3165181656308846,0.6831622546313227
33849,7940,3849,40.0615113,-75.08350585,0.054256,0.073328236192598,1.3515230793386537,0.7455667525579939
33850,8765,7940,40.061674,-75.08359585,0.053492,0.056689512744579,1.0597755317538902,0.1703313296208658
33851,7764,8766,40.0621637,-75.08348864999999,0.04056,0.0548177760979758,1.351523079338654,0.7455667525579939
33852,8766,7764,40.0621637,-75.08348864999999,0.04056,0.0546887359701716,1.3483416166215885,0.7399393645049448
33853,5198,5199,40.05978035,-75.0809687,0.09431,0.1005978964526774,1.0666726376065894,0.1865583505883497
33854,5199,5198,40.05978035,-75.0809687,0.09431,0.1064353839020162,1.1285694401655837,0.322457976055064
33855,7762,7763,40.0645918,-75.0835292,0.187223,0.2524405624887436,1.3483416166215882,0.7399393645049448
33856,7763,7762,40.0645918,-75.0835292,0.187223,0.2530362054830208,1.351523079338654,0.7455667525579939
33857,7951,8803,40.06589965,-75.08305265,0.195722,0.3152050567744479,1.6104733079288371,1.1809927446060566
33858,8803,7951,40.06589965,-75.08305265,0.195722,0.2627663397793124,1.342548818116065,0.7296709522069512
33859,7763,7951,40.0654964,-75.08347950000001,0.03508,0.0564954036421436,1.6104733079288371,1.1809927446060566
33860,7951,7763,40.0654964,-75.08347950000001,0.03508,0.0470966125395115,1.342548818116065,0.7296709522069512
33861,7763,3208,40.0655366,-75.08357910000001,0.023425,0.0267056140797272,1.140047559433393,0.346275116302926
33862,3208,7763,40.0655366,-75.08357910000001,0.023425,0.0285518443834655,1.2188620868074922,0.5023431018223434
33863,8803,9900,40.0665025,-75.082413,0.149748,0.2411651569157274,1.6104733079288371,1.1809927446060566
33864,9900,8803,40.0665025,-75.082413,0.149748,0.2010440004152444,1.342548818116065,0.7296709522069512
33865,7380,7382,40.0712052,-75.08520485,0.443626,0.443626,1.0,0.0
33866,7382,7380,40.0712052,-75.08520485,0.443626,0.443626,1.0,0.0
33867,3207,10000060,40.06988461129032,-75.08461264516129,2.82318,2.82318,1.0,0.0
33868,10000060,3207,40.06988461129032,-75.08461264516129,2.82318,2.82318,1.0,0.0
33869,7380,10000060,40.06998301129032,-75.08491044516128,2.951766,2.951766,1.0,0.0
33870,10000060,7380,40.06998301129032,-75.08491044516128,2.951766,2.951766,1.0,0.0
33871,9907,10000060,40.06754536129032,-75.08318224516128,1.66101,1.66101,1.0,0.0
33872,10000060,9907,40.06754536129032,-75.08318224516128,1.66101,1.66101,1.0,0.0
33873,9913,10000060,40.06786386129032,-75.08285919516129,1.968492,1.968492,1.0,0.0
33874,10000060,9913,40.06786386129032,-75.08285919516129,1.968492,1.968492,1.0,0.0
33875,9914,10000060,40.06818486129032,-75.0825247451613,2.372268,2.372268,1.0,0.0
33876,10000060,9914,40.06818486129032,-75.0825247451613,2.372268,2.372268,1.0,0.0
33877,7224,7382,40.06941945,-75.08618634999999,0.450134,0.450134,1.0,0.0
33878,7382,7224,40.06941945,-75.08618634999999,0.450134,0.450134,1.0,0.0
33879,7223,10000060,40.068082811290324,-75.08599704516129,1.315746,1.315746,1.0,0.0
33880,10000060,7223,40.068082811290324,-75.08599704516129,1.315746,1.315746,1.0,0.0
33881,7224,10000060,40.06819726129032,-75.08589194516128,1.274292,1.274292,1.0,0.0
33882,10000060,7224,40.06819726129032,-75.08589194516128,1.274292,1.274292,1.0,0.0
33883,7382,10000060,40.068991911290325,-75.08507289516129,1.655904,1.655904,1.0,0.0
33884,10000060,7382,40.068991911290325,-75.08507289516129,1.655904,1.655904,1.0,0.0
33885,7223,7224,40.06851035,-75.0871105,0.062308,0.062308,1.0,0.0
33886,7224,7223,40.06851035,-75.0871105,0.062308,0.062308,1.0,0.0
33887,7111,7113,40.073538400000004,-75.08482805,0.191124,0.191124,1.0,0.0
33888,3207,7114,40.0726963,-75.08455825,0.155839,0.1776638716145405,1.140047559433393,0.346275116302926
33889,7114,3207,40.0726963,-75.08455825,0.155839,0.1899462487459927,1.2188620868074922,0.5023431018223434
33890,7113,7114,40.07325195,-75.0847809,0.073186,0.073186,1.0,0.0
33891,7380,7381,40.072584649999996,-75.08497790000001,0.173948,0.173948,1.0,0.0
33892,7381,7380,40.072584649999996,-75.08497790000001,0.173948,0.173948,1.0,0.0
33893,7381,7113,40.0730419,-75.08490275,0.0308539999999999,0.0308539999999999,1.0,0.0
33894,7113,7381,40.0730419,-75.08490275,0.0308539999999999,0.0308539999999999,1.0,0.0
33895,7111,7114,40.073679549999994,-75.08471685,0.064127,0.078161969040704,1.2188620868074922,0.5023431018223434
33896,7114,7111,40.073679549999994,-75.08471685,0.064127,0.0731078298437852,1.140047559433393,0.346275116302926
33897,7111,7112,40.0740221,-75.0847722,0.012511,0.0142631350160711,1.140047559433393,0.346275116302926
33898,7112,7111,40.0740221,-75.0847722,0.012511,0.0152491835680485,1.2188620868074922,0.5023431018223434
33899,9913,9914,40.068279000000004,-75.08060545000001,0.182634,0.2941271821202752,1.6104733079288371,1.1809927446060566
33900,9914,9913,40.068279000000004,-75.08060545000001,0.182634,0.2451950608478094,1.342548818116065,0.7296709522069512
33901,9907,9913,40.0676395,-75.08126295,0.17933,0.2888061783108783,1.6104733079288371,1.1809927446060566
33902,9913,9907,40.0676395,-75.08126295,0.17933,0.2407592795527539,1.342548818116065,0.7296709522069512
33903,2945,2947,40.0635866,-75.0725298,0.4337,0.4352541290483795,1.0035834195258924,0.0163219875742506
33904,2947,2945,40.0635866,-75.0725298,0.4337,0.4347211114730103,1.0023544188909623,0.0115016842552226
33905,7149,7150,40.0606705,-75.0754545,0.16784,0.1805499938623813,1.075726846177201,0.2074435271182096
33906,7150,7149,40.0606705,-75.0754545,0.16784,0.2349347303369609,1.399754113065783,0.8298872909999733
33907,2947,10000021,40.06285818135593,-75.07352460338983,2.700108,2.700108,1.0,0.0
33908,10000021,2947,40.06285818135593,-75.07352460338983,2.700108,2.700108,1.0,0.0
33909,5540,10000021,40.060185081355925,-75.07747565338983,2.72415,2.72415,1.0,0.0
33910,10000021,5540,40.060185081355925,-75.07747565338983,2.72415,2.72415,1.0,0.0
33911,7147,10000021,40.06028158135592,-75.07612080338983,1.66218,1.66218,1.0,0.0
33912,10000021,7147,40.06028158135592,-75.07612080338983,1.66218,1.66218,1.0,0.0
33913,7148,10000021,40.060559081355926,-75.07583830338983,1.198194,1.198194,1.0,0.0
33914,10000021,7148,40.060559081355926,-75.07583830338983,1.198194,1.198194,1.0,0.0
33915,7149,10000021,40.06086208135593,-75.07552230338982,0.697302,0.697302,1.0,0.0
33916,10000021,7149,40.06086208135593,-75.07552230338982,0.697302,0.697302,1.0,0.0
33917,7147,7148,40.059485499999994,-75.0766655,0.156478,0.168327585436116,1.075726846177201,0.2074435271182096
33918,7148,7147,40.059485499999994,-75.0766655,0.156478,0.2190307241043075,1.399754113065783,0.8298872909999733
33919,7148,7149,40.060066,-75.076067,0.172454,0.185513397530643,1.075726846177201,0.2074435271182096
33920,7149,7148,40.060066,-75.076067,0.172454,0.2413931958146465,1.399754113065783,0.8298872909999733
33921,369,371,40.061231,-75.0721785,0.246534,0.2926173370020064,1.1869248744676448,0.4404678803608611
33922,371,369,40.061231,-75.0721785,0.246534,0.2617780053065707,1.0618332777895572,0.1752038131600693
33923,2945,2946,40.062502,-75.0736065,0.172086,0.1724911625292701,1.0023544188909623,0.0115016842552226
33924,2946,2945,40.062502,-75.0736065,0.172086,0.1727026563325327,1.0035834195258924,0.0163219875742506
33925,371,2946,40.061873000000006,-75.07333750000001,0.2410639999999999,0.3397091420464267,1.4092072729500331,0.846209278574224
33926,2946,371,40.061873000000006,-75.07333750000001,0.2410639999999999,0.2605402304279758,1.0807927787972318,0.2189452113734321
33927,369,10000021,40.06113158135592,-75.07344230338983,1.918836,1.918836,1.0,0.0
33928,10000021,369,40.06113158135592,-75.07344230338983,1.918836,1.918836,1.0,0.0
33929,371,10000021,40.06145458135593,-75.07402980338983,1.300866,1.300866,1.0,0.0
33930,10000021,371,40.06145458135593,-75.07402980338983,1.300866,1.300866,1.0,0.0
33931,2945,10000021,40.06208358135593,-75.07429880338982,1.407096,1.407096,1.0,0.0
33932,10000021,2945,40.06208358135593,-75.07429880338982,1.407096,1.407096,1.0,0.0
33933,7150,7151,40.061283,-75.074843,0.17503,0.1882844698863954,1.075726846177201,0.2074435271182096
33934,7151,7150,40.061283,-75.074843,0.17503,0.2449989624099039,1.399754113065783,0.8298872909999733
33935,7151,2946,40.061893,-75.0742185,0.16968,0.1825293312593474,1.075726846177201,0.2074435271182096
33936,2946,7151,40.061893,-75.0742185,0.16968,0.237510277905002,1.399754113065783,0.8298872909999733
33937,2946,10000021,40.06177358135593,-75.07460130338983,0.901998,0.901998,1.0,0.0
33938,10000021,2946,40.06177358135593,-75.07460130338983,0.901998,0.901998,1.0,0.0
33939,7151,10000021,40.061474581355924,-75.07491080338983,0.423216,0.423216,1.0,0.0
33940,10000021,7151,40.061474581355924,-75.07491080338983,0.423216,0.423216,1.0,0.0
33941,7150,10000021,40.06116358135593,-75.07522580338983,0.264486,0.264486,1.0,0.0
33942,10000021,7150,40.06116358135593,-75.07522580338983,0.264486,0.264486,1.0,0.0
33943,3843,3844,40.07135305,-75.0727292,0.174746,0.1751574522016447,1.0023545729323975,0.0115023113477859
33944,3844,3843,40.07135305,-75.0727292,0.174746,0.1753721882284716,1.0035834195258924,0.0163219875742506
33945,3845,7000,40.072445849999994,-75.07496284999999,0.375304,0.3766488716817455,1.0035834195258924,0.0163219875742506
33946,7000,3845,40.072445849999994,-75.07496284999999,0.375304,0.3761876806398206,1.0023545729323975,0.0115023113477859
33947,9843,9844,40.071327499999995,-75.07750949999999,0.169422,0.2728496087759194,1.610473307928837,1.1809927446060566
33948,9844,9843,40.071327499999995,-75.07750949999999,0.169422,0.2274573058628599,1.342548818116065,0.7296709522069512
33949,7000,9848,40.07319295,-75.07558365,0.16751,0.2774727369752062,1.6564547607617826,1.2546685105570266
33950,9848,7000,40.07319295,-75.07558365,0.16751,0.2259774881686254,1.3490387927205862,0.741173263554737
33951,3843,10000061,40.07124902857143,-75.07349073285714,0.5411699999999999,0.5411699999999999,1.0,0.0
33952,10000061,3843,40.07124902857143,-75.07349073285714,0.5411699999999999,0.5411699999999999,1.0,0.0
33953,3845,10000061,40.071462628571425,-75.07392783285714,0.7152120000000001,0.7152120000000001,1.0,0.0
33954,10000061,3845,40.071462628571425,-75.07392783285714,0.7152120000000001,0.7152120000000001,1.0,0.0
33955,7000,10000061,40.07191567857143,-75.07485628285713,1.68516,1.68516,1.0,0.0
33956,10000061,7000,40.07191567857143,-75.07485628285713,1.68516,1.68516,1.0,0.0
33957,9843,10000061,40.07098022857143,-75.07581913285713,2.046282,2.046282,1.0,0.0
33958,10000061,9843,40.07098022857143,-75.07581913285713,2.046282,2.046282,1.0,0.0
33959,9844,10000061,40.071279728571426,-75.07551163285714,1.791372,1.791372,1.0,0.0
33960,10000061,9844,40.071279728571426,-75.07551163285714,1.791372,1.791372,1.0,0.0
33961,9845,10000061,40.07095122857143,-75.07584913285714,2.076144,2.076144,1.0,0.0
33962,10000061,9845,40.07095122857143,-75.07584913285714,2.076144,2.076144,1.0,0.0
33963,9846,10000061,40.07155397857143,-75.07523003285714,1.663488,1.663488,1.0,0.0
33964,10000061,9846,40.07155397857143,-75.07523003285714,1.663488,1.663488,1.0,0.0
33965,9847,10000061,40.071607678571425,-75.07517653285714,1.6539179999999998,1.6539179999999998,1.0,0.0
33966,10000061,9847,40.071607678571425,-75.07517653285714,1.6539179999999998,1.6539179999999998,1.0,0.0
33967,9848,10000061,40.07220972857142,-75.07454863285713,1.85796,1.85796,1.0,0.0
33968,10000061,9848,40.07220972857142,-75.07454863285713,1.85796,1.85796,1.0,0.0
33969,9849,10000061,40.072490728571424,-75.07427163285713,2.127186,2.127186,1.0,0.0
33970,10000061,9849,40.072490728571424,-75.07427163285713,2.127186,2.127186,1.0,0.0
33971,9850,10000061,40.07309622857143,-75.07364913285713,2.8887540000000005,2.8887540000000005,1.0,0.0
